CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Cluster_group
99,Male,48,61,42,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
100,Male,20,61,49,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
101,Female,23,62,41,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
102,Female,49,62,48,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
103,Male,67,62,59,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
104,Male,26,62,55,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
105,Male,49,62,56,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
106,Female,21,62,42,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
107,Female,66,63,50,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
108,Male,54,63,46,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
109,Male,68,63,43,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
110,Male,66,63,48,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
111,Male,65,63,52,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
112,Female,19,63,54,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
113,Female,38,64,42,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
114,Male,19,64,46,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
115,Female,18,65,48,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
116,Female,19,65,50,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
117,Female,63,65,43,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
118,Female,49,65,59,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
119,Female,51,67,43,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
120,Female,50,67,57,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
121,Male,27,67,56,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
122,Female,38,67,40,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
123,Female,40,69,58,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
124,Male,39,69,91,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
125,Female,23,70,29,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
126,Female,31,70,77,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
127,Male,43,71,35,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
128,Male,40,71,95,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
129,Male,59,71,11,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
130,Male,38,71,75,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
131,Male,47,71,9,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
132,Male,39,71,75,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
133,Female,25,72,34,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
134,Female,31,72,71,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
135,Male,20,73,5,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
136,Female,29,73,88,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
137,Female,44,73,7,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
138,Male,32,73,73,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
139,Male,19,74,10,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
140,Female,35,74,72,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
141,Female,57,75,5,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
142,Male,32,75,93,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
143,Female,28,76,40,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
144,Female,32,76,87,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
145,Male,25,77,12,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
146,Male,28,77,97,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
147,Male,48,77,36,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
148,Female,32,77,74,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
149,Female,34,78,22,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
150,Male,34,78,90,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
151,Male,43,78,17,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
152,Male,39,78,88,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
153,Female,44,78,20,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
154,Female,38,78,76,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
155,Female,47,78,16,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
156,Female,27,78,89,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
157,Male,37,78,1,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
158,Female,30,78,78,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
159,Male,34,78,1,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
160,Female,30,78,73,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
161,Female,56,79,35,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
162,Female,29,79,83,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
163,Male,19,81,5,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
164,Female,31,81,93,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
165,Male,50,85,26,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
166,Female,36,85,75,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
167,Male,42,86,20,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
168,Female,33,86,95,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
169,Female,36,87,27,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
170,Male,32,87,63,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
171,Male,40,87,13,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
172,Male,28,87,75,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
173,Male,36,87,10,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
174,Male,36,87,92,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
175,Female,52,88,13,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
176,Female,30,88,86,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
177,Male,58,88,15,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
178,Male,27,88,69,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
179,Male,59,93,14,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
180,Male,35,93,90,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
181,Female,37,97,32,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
182,Female,32,97,86,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
183,Male,46,98,15,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
184,Female,29,98,88,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
185,Female,41,99,39,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
186,Male,30,99,97,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
187,Female,54,101,24,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
188,Male,28,101,68,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
189,Female,41,103,17,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
190,Female,36,103,85,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
191,Female,34,103,23,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
192,Female,32,103,69,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
193,Male,33,113,8,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
194,Female,38,113,91,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
195,Female,47,120,16,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
196,Female,35,120,79,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
197,Female,45,126,28,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
198,Male,32,126,74,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
199,Male,32,137,18,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
200,Male,30,137,83,"MeanShift(bandwidth=27.161411938994306, bin_seeding=True)"
